iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Acarnus erithacus,63669,Acarnus erithacus,"Laubenfels, 1927",5,"{""imerss.org:PMLS:7812"":null,""imerss.org:PMLS:14172"":null,""imerss.org:PMLS:15458"":null,""imerss.org:PMLS:15566"":null,""imerss.org:PMLS:16665"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,Andy Lamb,,,,imerss.org:PMLS:7812,2008-08-29T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:16665,2015-01-01T00:00:00.000Z
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",6,"{""imerss.org:PMLS:230"":null,""imerss.org:PMLS:695"":null,""imerss.org:PMLS:1002"":null,""imerss.org:PMLS:2854"":null,""imerss.org:PMLS:6727"":null,""imerss.org:PMLS:8830"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,Andy Lamb,,,,imerss.org:PMLS:230,1981-05-31T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:8830,2008-11-12T00:00:00.000Z
Antho karykina,345142,Antho (Plocamia) karykina,"(Laubenfels, 1927)",3,"{""imerss.org:PMLS:370"":null,""imerss.org:PMLS:698"":null,""imerss.org:PMLS:15148"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Microcionidae,Ophlitaspongiinae,,Antho,karykina,Andy Lamb,,,,imerss.org:PMLS:370,1985-08-02T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:15148,2012-08-09T00:00:00.000Z
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",89,"{""imerss.org:iNat:8459011"":null,""imerss.org:iNat:8459012"":null,""imerss.org:iNat:8459013"":null,""imerss.org:iNat:59908525"":null,""imerss.org:iNat:59908526"":null,""imerss.org:iNat:59908528"":null,""imerss.org:iNat:59908529"":null,""imerss.org:iNat:59908530"":null,""imerss.org:iNat:59908532"":null,""imerss.org:iNat:59908533"":null,""imerss.org:iNat:59908536"":null,""imerss.org:iNat:59908537"":null,""imerss.org:iNat:59908538"":null,""imerss.org:iNat:59908540"":null,""imerss.org:iNat:59908541"":null,""imerss.org:iNat:59908543"":null,""imerss.org:iNat:59908545"":null,""imerss.org:iNat:59908546"":null,""imerss.org:iNat:59908547"":null,""imerss.org:iNat:59908548"":null,""imerss.org:iNat:59908550"":null,""imerss.org:iNat:59908552"":null,""imerss.org:iNat:59908553"":null,""imerss.org:iNat:59908555"":null,""imerss.org:iNat:59908557"":null,""imerss.org:iNat:59908565"":null,""imerss.org:iNat:59908568"":null,""imerss.org:iNat:59908569"":null,""imerss.org:iNat:59908573"":null,""imerss.org:iNat:59908574"":null,""imerss.org:iNat:59908584"":null,""imerss.org:iNat:59908586"":null,""imerss.org:iNat:59908587"":null,""imerss.org:iNat:8444078"":null,""imerss.org:iNat:60467720"":null,""imerss.org:iNat:69820984"":null,""imerss.org:iNat:116332390"":null,""imerss.org:iNat:59919988"":null,""imerss.org:iNat:59919989"":null,""imerss.org:iNat:59919990"":null,""imerss.org:iNat:59919992"":null,""imerss.org:iNat:59919993"":null,""imerss.org:iNat:59919994"":null,""imerss.org:iNat:59919996"":null,""imerss.org:iNat:59919998"":null,""imerss.org:iNat:59919999"":null,""imerss.org:iNat:59920001"":null,""imerss.org:iNat:59920002"":null,""imerss.org:iNat:59920003"":null,""imerss.org:iNat:59920004"":null,""imerss.org:iNat:59920005"":null,""imerss.org:iNat:59920006"":null,""imerss.org:iNat:59920007"":null,""imerss.org:iNat:59920008"":null,""imerss.org:iNat:59920009"":null,""imerss.org:iNat:59920010"":null,""imerss.org:iNat:59920012"":null,""imerss.org:iNat:59920013"":null,""imerss.org:iNat:59920014"":null,""imerss.org:iNat:59920015"":null,""imerss.org:iNat:59920016"":null,""imerss.org:iNat:59920018"":null,""imerss.org:iNat:59920019"":null,""imerss.org:iNat:59920020"":null,""imerss.org:iNat:59920023"":null,""imerss.org:iNat:59920025"":null,""imerss.org:iNat:59920027"":null,""imerss.org:iNat:59920028"":null,""imerss.org:iNat:59920032"":null,""imerss.org:iNat:59920034"":null,""imerss.org:iNat:59920036"":null,""imerss.org:iNat:59920039"":null,""imerss.org:iNat:59920040"":null,""imerss.org:iNat:59920045"":null,""imerss.org:iNat:59920046"":null,""imerss.org:iNat:59920049"":null,""imerss.org:iNat:60619085"":null,""imerss.org:iNat:60619086"":null,""imerss.org:iNat:60619088"":null,""ade2c3e0-c84e-4437-ad4d-d07da053d65d"":null,""86fb15f8-4e59-4c17-b5d5-e186c77894ac"":null,""imerss.org:iNat:60619089"":null,""imerss.org:iNat:63051919"":null,""imerss.org:iNat:63051921"":null,""imerss.org:iNat:63051922"":null,""imerss.org:iNat:63051923"":null,""imerss.org:iNat:63051924"":null,""imerss.org:iNat:63051925"":null,""imerss.org:iNat:63051926"":null}",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,Jackson W.F. Chu,,,,imerss.org:iNat:8459011,2007-10-23T00:00:00.000Z,Jackson W.F. Chu,,,,imerss.org:iNat:63051919,2017-06-24T00:00:00.000Z
Aplysilla polyraphis,213993,Aplysilla polyraphis,"Laubenfels, 1930",3,"{""imerss.org:PMLS:8834"":null,""imerss.org:PMLS:8917"":null,""imerss.org:PMLS:11897"":null}",Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,,Darwinellidae,,,Aplysilla,polyraphis,Andy Lamb,,,,imerss.org:PMLS:8834,2008-11-12T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:11897,2009-10-10T00:00:00.000Z
Aplysilla,63646,Aplysilla sp.,,19,"{""imerss.org:PMLS:369"":null,""imerss.org:PMLS:468"":null,""imerss.org:PMLS:1213"":null,""imerss.org:PMLS:2858"":null,""imerss.org:PMLS:3182"":null,""imerss.org:PMLS:5167"":null,""imerss.org:PMLS:5972"":null,""imerss.org:PMLS:6071"":null,""imerss.org:PMLS:6288"":null,""imerss.org:PMLS:6475"":null,""imerss.org:PMLS:6554"":null,""imerss.org:PMLS:7811"":null,""imerss.org:PMLS:8566"":null,""imerss.org:PMLS:9624"":null,""imerss.org:PMLS:10084"":null,""imerss.org:PMLS:10173"":null,""imerss.org:PMLS:14829"":null,""imerss.org:PMLS:16891"":null,""imerss.org:PMLS:17269"":null}",Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,,Darwinellidae,,,Aplysilla,,Andy Lamb,,,,imerss.org:PMLS:369,1985-08-02T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17269,2016-03-27T00:00:00.000Z
Clathria pennata,63672,Clathria (Microciona) pennata,"(Lambe, 1895)",173,"{""imerss.org:PMLS:98"":null,""imerss.org:PMLS:139"":null,""imerss.org:PMLS:286"":null,""imerss.org:PMLS:371"":null,""imerss.org:PMLS:469"":null,""imerss.org:PMLS:697"":null,""imerss.org:PMLS:1005"":null,""imerss.org:PMLS:1101"":null,""imerss.org:PMLS:1193"":null,""imerss.org:PMLS:1211"":null,""imerss.org:PMLS:1375"":null,""imerss.org:PMLS:1465"":null,""imerss.org:PMLS:1562"":null,""imerss.org:PMLS:1662"":null,""imerss.org:PMLS:1750"":null,""imerss.org:PMLS:1836"":null,""imerss.org:PMLS:1913"":null,""imerss.org:PMLS:1992"":null,""imerss.org:PMLS:2078"":null,""imerss.org:PMLS:2187"":null,""imerss.org:PMLS:2387"":null,""imerss.org:PMLS:2486"":null,""imerss.org:PMLS:2569"":null,""imerss.org:PMLS:2661"":null,""imerss.org:PMLS:2782"":null,""imerss.org:PMLS:2859"":null,""imerss.org:PMLS:3006"":null,""imerss.org:PMLS:3112"":null,""imerss.org:PMLS:3183"":null,""imerss.org:PMLS:3386"":null,""imerss.org:PMLS:3518"":null,""imerss.org:PMLS:3663"":null,""imerss.org:PMLS:3775"":null,""imerss.org:PMLS:3894"":null,""imerss.org:PMLS:4100"":null,""imerss.org:PMLS:4213"":null,""imerss.org:PMLS:4326"":null,""imerss.org:PMLS:4503"":null,""imerss.org:PMLS:4608"":null,""imerss.org:PMLS:4714"":null,""imerss.org:PMLS:4842"":null,""imerss.org:PMLS:4946"":null,""imerss.org:PMLS:5041"":null,""imerss.org:PMLS:5168"":null,""imerss.org:PMLS:5284"":null,""imerss.org:PMLS:5365"":null,""imerss.org:PMLS:5567"":null,""imerss.org:PMLS:5643"":null,""imerss.org:PMLS:5747"":null,""imerss.org:PMLS:5841"":null,""imerss.org:PMLS:5973"":null,""imerss.org:PMLS:6072"":null,""imerss.org:PMLS:6190"":null,""imerss.org:PMLS:6289"":null,""imerss.org:PMLS:6381"":null,""imerss.org:PMLS:6476"":null,""imerss.org:PMLS:6555"":null,""imerss.org:PMLS:6647"":null,""imerss.org:PMLS:6732"":null,""imerss.org:PMLS:6844"":null,""imerss.org:PMLS:6968"":null,""imerss.org:PMLS:7112"":null,""imerss.org:PMLS:7270"":null,""imerss.org:PMLS:7384"":null,""imerss.org:PMLS:7507"":null,""imerss.org:PMLS:7600"":null,""imerss.org:PMLS:7714"":null,""imerss.org:PMLS:7813"":null,""imerss.org:PMLS:7903"":null,""imerss.org:PMLS:8003"":null,""imerss.org:PMLS:8109"":null,""imerss.org:PMLS:8204"":null,""imerss.org:PMLS:8285"":null,""imerss.org:PMLS:8472"":null,""imerss.org:PMLS:8567"":null,""imerss.org:PMLS:8654"":null,""imerss.org:PMLS:8755"":null,""imerss.org:PMLS:8835"":null,""imerss.org:PMLS:8918"":null,""imerss.org:PMLS:8992"":null,""imerss.org:PMLS:9072"":null,""imerss.org:PMLS:9167"":null,""imerss.org:PMLS:9248"":null,""imerss.org:PMLS:9317"":null,""imerss.org:PMLS:9409"":null,""imerss.org:PMLS:9515"":null,""imerss.org:PMLS:9625"":null,""imerss.org:PMLS:9748"":null,""imerss.org:PMLS:9867"":null,""imerss.org:PMLS:9973"":null,""imerss.org:PMLS:10085"":null,""imerss.org:PMLS:10174"":null,""imerss.org:PMLS:10251"":null,""imerss.org:PMLS:10321"":null,""imerss.org:PMLS:10409"":null,""imerss.org:PMLS:10499"":null,""imerss.org:PMLS:10544"":null,""imerss.org:PMLS:10664"":null,""imerss.org:PMLS:10802"":null,""imerss.org:PMLS:10957"":null,""imerss.org:PMLS:11099"":null,""imerss.org:PMLS:11272"":null,""imerss.org:PMLS:11409"":null,""imerss.org:PMLS:11508"":null,""imerss.org:PMLS:11603"":null,""imerss.org:PMLS:11705"":null,""imerss.org:PMLS:11798"":null,""imerss.org:PMLS:11898"":null,""imerss.org:PMLS:12005"":null,""imerss.org:PMLS:12092"":null,""imerss.org:PMLS:12191"":null,""imerss.org:PMLS:12283"":null,""imerss.org:PMLS:12362"":null,""imerss.org:PMLS:12437"":null,""imerss.org:PMLS:12518"":null,""imerss.org:PMLS:12622"":null,""imerss.org:PMLS:12700"":null,""imerss.org:PMLS:12817"":null,""imerss.org:PMLS:12944"":null,""imerss.org:PMLS:13044"":null,""imerss.org:PMLS:13143"":null,""imerss.org:PMLS:13273"":null,""imerss.org:PMLS:13475"":null,""imerss.org:PMLS:13555"":null,""imerss.org:PMLS:13649"":null,""imerss.org:PMLS:13777"":null,""imerss.org:PMLS:13857"":null,""imerss.org:PMLS:13970"":null,""imerss.org:PMLS:14036"":null,""imerss.org:PMLS:14111"":null,""imerss.org:PMLS:14173"":null,""imerss.org:PMLS:14264"":null,""imerss.org:PMLS:14358"":null,""imerss.org:PMLS:14459"":null,""imerss.org:PMLS:14538"":null,""imerss.org:PMLS:14629"":null,""imerss.org:PMLS:14731"":null,""imerss.org:PMLS:14830"":null,""imerss.org:PMLS:14946"":null,""imerss.org:PMLS:15043"":null,""imerss.org:PMLS:15149"":null,""imerss.org:PMLS:15246"":null,""imerss.org:PMLS:15344"":null,""imerss.org:PMLS:15459"":null,""imerss.org:PMLS:15567"":null,""imerss.org:PMLS:15691"":null,""imerss.org:PMLS:15792"":null,""imerss.org:PMLS:15907"":null,""imerss.org:PMLS:16036"":null,""imerss.org:PMLS:16139"":null,""imerss.org:PMLS:16217"":null,""imerss.org:PMLS:16309"":null,""imerss.org:PMLS:16387"":null,""imerss.org:PMLS:16479"":null,""imerss.org:PMLS:16580"":null,""imerss.org:PMLS:16666"":null,""imerss.org:PMLS:16742"":null,""imerss.org:PMLS:16800"":null,""imerss.org:PMLS:16892"":null,""imerss.org:PMLS:17049"":null,""imerss.org:PMLS:17098"":null,""imerss.org:PMLS:17183"":null,""imerss.org:PMLS:17271"":null,""imerss.org:PMLS:17373"":null,""imerss.org:PMLS:17470"":null,""imerss.org:PMLS:17574"":null,""imerss.org:PMLS:17701"":null,""imerss.org:PMLS:17782"":null,""imerss.org:PMLS:17818"":null,""imerss.org:PMLS:17962"":null,""imerss.org:PMLS:18044"":null,""imerss.org:PMLS:18123"":null,""imerss.org:PMLS:18319"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Microcionidae,Microcioninae,,Clathria,pennata,Andy Lamb,,,,imerss.org:PMLS:98,1971-08-21T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:18319,2019-03-17T00:00:00.000Z
Clathrina,122021,Clathrina sp.,,1,"{""imerss.org:PMLS:17960"":null}",Animalia,Porifera,,,Calcarea,Calcinea,,Clathrinida,,,,Clathrinidae,,,Clathrina,,Andy Lamb,,,,imerss.org:PMLS:17960,2017-06-30T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17960,2017-06-30T00:00:00.000Z
Cliona californiana,424811,Cliona californiana,"Laubenfels, 1932",169,"{""imerss.org:PMLS:134"":null,""imerss.org:PMLS:363"":null,""imerss.org:PMLS:464"":null,""imerss.org:PMLS:778"":null,""imerss.org:PMLS:1191"":null,""imerss.org:PMLS:1208"":null,""imerss.org:PMLS:1373"":null,""imerss.org:PMLS:1464"":null,""imerss.org:PMLS:1990"":null,""imerss.org:PMLS:2077"":null,""imerss.org:PMLS:2184"":null,""imerss.org:PMLS:2277"":null,""imerss.org:PMLS:2566"":null,""imerss.org:PMLS:2780"":null,""imerss.org:PMLS:2852"":null,""imerss.org:PMLS:3003"":null,""imerss.org:PMLS:3111"":null,""imerss.org:PMLS:3178"":null,""imerss.org:PMLS:3303"":null,""imerss.org:PMLS:3385"":null,""imerss.org:PMLS:3515"":null,""imerss.org:PMLS:3662"":null,""imerss.org:PMLS:3773"":null,""imerss.org:PMLS:3890"":null,""imerss.org:PMLS:3986"":null,""imerss.org:PMLS:4098"":null,""imerss.org:PMLS:4212"":null,""imerss.org:PMLS:4325"":null,""imerss.org:PMLS:4561"":null,""imerss.org:PMLS:4607"":null,""imerss.org:PMLS:4711"":null,""imerss.org:PMLS:4839"":null,""imerss.org:PMLS:4943"":null,""imerss.org:PMLS:5040"":null,""imerss.org:PMLS:5163"":null,""imerss.org:PMLS:5283"":null,""imerss.org:PMLS:5364"":null,""imerss.org:PMLS:5473"":null,""imerss.org:PMLS:5564"":null,""imerss.org:PMLS:5641"":null,""imerss.org:PMLS:5743"":null,""imerss.org:PMLS:5836"":null,""imerss.org:PMLS:5967"":null,""imerss.org:PMLS:6066"":null,""imerss.org:PMLS:6187"":null,""imerss.org:PMLS:6286"":null,""imerss.org:PMLS:6380"":null,""imerss.org:PMLS:6473"":null,""imerss.org:PMLS:6553"":null,""imerss.org:PMLS:6645"":null,""imerss.org:PMLS:6725"":null,""imerss.org:PMLS:6843"":null,""imerss.org:PMLS:6967"":null,""imerss.org:PMLS:7111"":null,""imerss.org:PMLS:7269"":null,""imerss.org:PMLS:7382"":null,""imerss.org:PMLS:7506"":null,""imerss.org:PMLS:7598"":null,""imerss.org:PMLS:7712"":null,""imerss.org:PMLS:7808"":null,""imerss.org:PMLS:7898"":null,""imerss.org:PMLS:8001"":null,""imerss.org:PMLS:8106"":null,""imerss.org:PMLS:8203"":null,""imerss.org:PMLS:8280"":null,""imerss.org:PMLS:8377"":null,""imerss.org:PMLS:8471"":null,""imerss.org:PMLS:8564"":null,""imerss.org:PMLS:8653"":null,""imerss.org:PMLS:8752"":null,""imerss.org:PMLS:8827"":null,""imerss.org:PMLS:8910"":null,""imerss.org:PMLS:8989"":null,""imerss.org:PMLS:9070"":null,""imerss.org:PMLS:9165"":null,""imerss.org:PMLS:9246"":null,""imerss.org:PMLS:9314"":null,""imerss.org:PMLS:9404"":null,""imerss.org:PMLS:9513"":null,""imerss.org:PMLS:9621"":null,""imerss.org:PMLS:9745"":null,""imerss.org:PMLS:9865"":null,""imerss.org:PMLS:9971"":null,""imerss.org:PMLS:10080"":null,""imerss.org:PMLS:10171"":null,""imerss.org:PMLS:10249"":null,""imerss.org:PMLS:10320"":null,""imerss.org:PMLS:10408"":null,""imerss.org:PMLS:10540"":null,""imerss.org:PMLS:10662"":null,""imerss.org:PMLS:10797"":null,""imerss.org:PMLS:10952"":null,""imerss.org:PMLS:11096"":null,""imerss.org:PMLS:11185"":null,""imerss.org:PMLS:11271"":null,""imerss.org:PMLS:11406"":null,""imerss.org:PMLS:11506"":null,""imerss.org:PMLS:11599"":null,""imerss.org:PMLS:11704"":null,""imerss.org:PMLS:11797"":null,""imerss.org:PMLS:11893"":null,""imerss.org:PMLS:12003"":null,""imerss.org:PMLS:12090"":null,""imerss.org:PMLS:12188"":null,""imerss.org:PMLS:12282"":null,""imerss.org:PMLS:12361"":null,""imerss.org:PMLS:12435"":null,""imerss.org:PMLS:12517"":null,""imerss.org:PMLS:12621"":null,""imerss.org:PMLS:12699"":null,""imerss.org:PMLS:12813"":null,""imerss.org:PMLS:12943"":null,""imerss.org:PMLS:13043"":null,""imerss.org:PMLS:13142"":null,""imerss.org:PMLS:13270"":null,""imerss.org:PMLS:13390"":null,""imerss.org:PMLS:13473"":null,""imerss.org:PMLS:13554"":null,""imerss.org:PMLS:13647"":null,""imerss.org:PMLS:13775"":null,""imerss.org:PMLS:13854"":null,""imerss.org:PMLS:13968"":null,""imerss.org:PMLS:14033"":null,""imerss.org:PMLS:14108"":null,""imerss.org:PMLS:14170"":null,""imerss.org:PMLS:14260"":null,""imerss.org:PMLS:14355"":null,""imerss.org:PMLS:14458"":null,""imerss.org:PMLS:14536"":null,""imerss.org:PMLS:14626"":null,""imerss.org:PMLS:14730"":null,""imerss.org:PMLS:14826"":null,""imerss.org:PMLS:14944"":null,""imerss.org:PMLS:15042"":null,""imerss.org:PMLS:15142"":null,""imerss.org:PMLS:15245"":null,""imerss.org:PMLS:15343"":null,""imerss.org:PMLS:15455"":null,""imerss.org:PMLS:15565"":null,""imerss.org:PMLS:15690"":null,""imerss.org:PMLS:15790"":null,""imerss.org:PMLS:15906"":null,""imerss.org:PMLS:16137"":null,""imerss.org:PMLS:16215"":null,""imerss.org:PMLS:16306"":null,""imerss.org:PMLS:16385"":null,""imerss.org:PMLS:16478"":null,""imerss.org:PMLS:16579"":null,""imerss.org:PMLS:16662"":null,""imerss.org:PMLS:16741"":null,""imerss.org:PMLS:16888"":null,""imerss.org:PMLS:16999"":null,""imerss.org:PMLS:17047"":null,""imerss.org:PMLS:17096"":null,""imerss.org:PMLS:17182"":null,""imerss.org:PMLS:17264"":null,""imerss.org:PMLS:17372"":null,""imerss.org:PMLS:17469"":null,""imerss.org:PMLS:17573"":null,""imerss.org:PMLS:17700"":null,""imerss.org:PMLS:17781"":null,""imerss.org:PMLS:17817"":null,""imerss.org:PMLS:17961"":null,""imerss.org:PMLS:18043"":null,""imerss.org:PMLS:18122"":null,""imerss.org:PMLS:18244"":null,""imerss.org:PMLS:18318"":null,""imerss.org:PMLS:18505"":null,""imerss.org:iNat:70790700"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,,Clionaidae,,,Cliona,californiana,Andy Lamb,,,,imerss.org:PMLS:134,1973-09-20T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:70790700,2021-03-07T00:00:00.000Z
Craniella villosa,459732,Craniella villosa,"Lambe, 1893",32,"{""imerss.org:PMLS:362"":null,""imerss.org:PMLS:463"":null,""imerss.org:PMLS:692"":null,""imerss.org:PMLS:777"":null,""imerss.org:PMLS:1001"":null,""imerss.org:PMLS:1190"":null,""imerss.org:PMLS:1207"":null,""imerss.org:PMLS:1989"":null,""imerss.org:PMLS:2565"":null,""imerss.org:PMLS:2851"":null,""imerss.org:PMLS:3177"":null,""imerss.org:PMLS:3985"":null,""imerss.org:PMLS:5472"":null,""imerss.org:PMLS:5742"":null,""imerss.org:PMLS:6724"":null,""imerss.org:PMLS:8105"":null,""imerss.org:PMLS:8202"":null,""imerss.org:PMLS:8826"":null,""imerss.org:PMLS:8909"":null,""imerss.org:PMLS:9619"":null,""imerss.org:PMLS:10795"":null,""imerss.org:PMLS:10950"":null,""imerss.org:PMLS:11598"":null,""imerss.org:PMLS:13141"":null,""imerss.org:PMLS:13553"":null,""imerss.org:PMLS:13646"":null,""imerss.org:PMLS:14032"":null,""imerss.org:PMLS:14169"":null,""imerss.org:iNat:2975867"":null,""imerss.org:PMLS:16578"":null,""imerss.org:PMLS:16886"":null,""imerss.org:PMLS:17046"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Tetractinellida,Spirophorina,,,Tetillidae,,,Craniella,villosa,Andy Lamb,,,,imerss.org:PMLS:362,1985-08-02T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17046,2016-02-18T00:00:00.000Z
