iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Aplidium californicum,131232,Aplidium californicum,0,accepted,"(Ritter & Forsyth, 1917)",6,"{""imerss.org:PMLS:450"":null,""imerss.org:PMLS:1168"":null,""imerss.org:PMLS:5620"":null,""imerss.org:PMLS:6811"":null,""imerss.org:PMLS:7079"":null,""iNat:168028266"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,Andy Lamb,PMLS,,,,imerss.org:PMLS:450,1985-08-02T00:00:00.000Z,,,,,,iNat:168028266,2023-06-17T00:00:00.000Z,,,,,,,,
Aplidium kottae,799283,Aplidium kottae,0,accepted,"Brunetti, 2007",54,"{""imerss.org:PMLS:343"":null,""imerss.org:PMLS:542"":null,""imerss.org:PMLS:827"":null,""imerss.org:PMLS:905"":null,""imerss.org:PMLS:2255"":null,""imerss.org:PMLS:2461"":null,""imerss.org:PMLS:2542"":null,""imerss.org:PMLS:3617"":null,""imerss.org:PMLS:3835"":null,""imerss.org:PMLS:3958"":null,""imerss.org:PMLS:4057"":null,""imerss.org:PMLS:4287"":null,""imerss.org:PMLS:4396"":null,""imerss.org:PMLS:5011"":null,""imerss.org:PMLS:5261"":null,""imerss.org:PMLS:5539"":null,""imerss.org:PMLS:5621"":null,""imerss.org:PMLS:5811"":null,""imerss.org:PMLS:6151"":null,""imerss.org:PMLS:6350"":null,""imerss.org:PMLS:7349"":null,""imerss.org:PMLS:7682"":null,""imerss.org:PMLS:7875"":null,""imerss.org:PMLS:8162"":null,""imerss.org:PMLS:8260"":null,""imerss.org:PMLS:9142"":null,""imerss.org:PMLS:9377"":null,""imerss.org:PMLS:9589"":null,""imerss.org:PMLS:9709"":null,""imerss.org:PMLS:9945"":null,""imerss.org:PMLS:10149"":null,""imerss.org:PMLS:10629"":null,""imerss.org:PMLS:10922"":null,""imerss.org:PMLS:11069"":null,""imerss.org:PMLS:11163"":null,""imerss.org:PMLS:11564"":null,""imerss.org:PMLS:12253"":null,""imerss.org:PMLS:12338"":null,""imerss.org:PMLS:12495"":null,""imerss.org:PMLS:12912"":null,""imerss.org:PMLS:13109"":null,""imerss.org:PMLS:13355"":null,""imerss.org:PMLS:13446"":null,""imerss.org:PMLS:13827"":null,""imerss.org:PMLS:14018"":null,""imerss.org:PMLS:14091"":null,""imerss.org:PMLS:14329"":null,""imerss.org:PMLS:14602"":null,""imerss.org:PMLS:14786"":null,""imerss.org:PMLS:14913"":null,""imerss.org:PMLS:15212"":null,""imerss.org:PMLS:16104"":null,""imerss.org:PMLS:16188"":null,""imerss.org:PMLS:18094"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,Andy Lamb,PMLS,,,,imerss.org:PMLS:343,1985-07-29T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:18094,2017-08-22T00:00:00.000Z,,,,,,,,
Ascidia columbiana,428617,Ascidia columbiana,0,accepted,"(Huntsman, 1912)",2,"{""imerss.org:PMLS:6928"":null,""imerss.org:PMLS:14909"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,columbiana,Andy Lamb,PMLS,,,,imerss.org:PMLS:6928,2008-04-27T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:14909,2011-11-18T00:00:00.000Z,,,,,,,,
Ascidia paratropa,415129,Ascidia paratropa,0,accepted,"(Huntsman, 1912)",44,"{""imerss.org:PMLS:48"":null,""imerss.org:PMLS:120"":null,""imerss.org:PMLS:270"":null,""imerss.org:PMLS:447"":null,""imerss.org:PMLS:537"":null,""imerss.org:PMLS:751"":null,""imerss.org:PMLS:823"":null,""imerss.org:PMLS:1162"":null,""imerss.org:PMLS:1723"":null,""imerss.org:PMLS:2627"":null,""imerss.org:PMLS:5534"":null,""imerss.org:PMLS:6263"":null,""imerss.org:PMLS:6346"":null,""imerss.org:PMLS:6442"":null,""imerss.org:PMLS:6927"":null,""imerss.org:PMLS:7071"":null,""imerss.org:PMLS:7187"":null,""imerss.org:PMLS:7470"":null,""imerss.org:PMLS:7677"":null,""imerss.org:PMLS:7759"":null,""imerss.org:PMLS:7973"":null,""imerss.org:PMLS:9137"":null,""imerss.org:PMLS:9476"":null,""imerss.org:PMLS:9705"":null,""imerss.org:PMLS:9826"":null,""imerss.org:PMLS:10146"":null,""imerss.org:PMLS:10743"":null,""imerss.org:PMLS:10916"":null,""imerss.org:PMLS:11064"":null,""imerss.org:PMLS:11245"":null,""imerss.org:PMLS:11370"":null,""imerss.org:PMLS:11473"":null,""imerss.org:PMLS:11561"":null,""imerss.org:PMLS:11669"":null,""imerss.org:PMLS:11771"":null,""imerss.org:PMLS:12409"":null,""imerss.org:PMLS:12595"":null,""imerss.org:PMLS:13232"":null,""imerss.org:PMLS:13932"":null,""imerss.org:PMLS:14692"":null,""imerss.org:PMLS:15104"":null,""imerss.org:PMLS:15312"":null,""imerss.org:PMLS:17433"":null,""iNat:172112408"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,paratropa,Andy Lamb,PMLS,,,,imerss.org:PMLS:48,1969-02-21T00:00:00.000Z,,,,,,iNat:172112408,2023-07-09T00:00:00.000Z,,,,,,,,
Bathypera feminalba,800127,Bathypera feminalba,0,accepted,"Young & Vazquez, 1995",1,"{""imerss.org:PMLS:10744"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Bathypera,feminalba,Andy Lamb,PMLS,,,,imerss.org:PMLS:10744,2009-04-04T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:10744,2009-04-04T00:00:00.000Z,,,,,,,,
Boltenia villosa,194568,Boltenia villosa,0,accepted,"(Stimpson, 1864)",100,"{""imerss.org:PMLS:91"":null,""imerss.org:PMLS:340"":null,""imerss.org:PMLS:541"":null,""imerss.org:PMLS:598"":null,""a9d79667-a156-4041-aca4-331b69215208"":null,""imerss.org:PMLS:671"":null,""imerss.org:PMLS:904"":null,""imerss.org:PMLS:974"":null,""imerss.org:PMLS:1165"":null,""imerss.org:PMLS:1536"":null,""imerss.org:PMLS:1725"":null,""imerss.org:PMLS:1814"":null,""imerss.org:PMLS:1896"":null,""imerss.org:PMLS:1969"":null,""imerss.org:PMLS:2057"":null,""imerss.org:PMLS:2152"":null,""imerss.org:PMLS:2253"":null,""imerss.org:PMLS:2459"":null,""imerss.org:PMLS:2541"":null,""imerss.org:PMLS:2720"":null,""imerss.org:PMLS:2963"":null,""imerss.org:PMLS:3084"":null,""imerss.org:PMLS:3277"":null,""imerss.org:PMLS:3357"":null,""imerss.org:PMLS:3476"":null,""imerss.org:PMLS:3614"":null,""imerss.org:PMLS:4056"":null,""imerss.org:PMLS:4169"":null,""imerss.org:PMLS:4395"":null,""imerss.org:PMLS:4544"":null,""imerss.org:PMLS:4802"":null,""imerss.org:PMLS:4916"":null,""imerss.org:PMLS:5114"":null,""imerss.org:PMLS:5618"":null,""imerss.org:PMLS:5711"":null,""imerss.org:PMLS:5809"":null,""imerss.org:PMLS:6149"":null,""imerss.org:PMLS:6700"":null,""imerss.org:PMLS:6807"":null,""imerss.org:PMLS:6932"":null,""imerss.org:PMLS:7076"":null,""imerss.org:PMLS:7190"":null,""imerss.org:PMLS:7250"":null,""imerss.org:PMLS:7475"":null,""imerss.org:PMLS:7567"":null,""imerss.org:PMLS:8076"":null,""imerss.org:PMLS:8441"":null,""imerss.org:PMLS:8527"":null,""imerss.org:PMLS:9141"":null,""imerss.org:PMLS:9221"":null,""imerss.org:PMLS:11969"":null,""imerss.org:PMLS:12159"":null,""imerss.org:PMLS:12781"":null,""imerss.org:PMLS:12907"":null,""imerss.org:PMLS:13017"":null,""imerss.org:PMLS:13107"":null,""imerss.org:PMLS:13238"":null,""imerss.org:PMLS:13349"":null,""imerss.org:PMLS:13445"":null,""imerss.org:PMLS:13610"":null,""imerss.org:PMLS:13936"":null,""imerss.org:PMLS:14016"":null,""imerss.org:PMLS:14090"":null,""imerss.org:PMLS:14432"":null,""imerss.org:PMLS:14507"":null,""imerss.org:PMLS:14694"":null,""imerss.org:PMLS:15014"":null,""imerss.org:PMLS:15314"":null,""imerss.org:PMLS:15414"":null,""imerss.org:PMLS:15657"":null,""imerss.org:PMLS:15755"":null,""imerss.org:PMLS:15870"":null,""imerss.org:PMLS:15998"":null,""imerss.org:PMLS:16102"":null,""imerss.org:PMLS:16452"":null,""imerss.org:PMLS:16554"":null,""imerss.org:PMLS:16719"":null,""imerss.org:PMLS:16967"":null,""imerss.org:PMLS:17351"":null,""imerss.org:PMLS:17437"":null,""imerss.org:PMLS:17541"":null,""imerss.org:PMLS:17663"":null,""imerss.org:PMLS:17886"":null,""imerss.org:PMLS:18024"":null,""iNat:2854899"":null,""iNat:106689108"":null,""iNat:164549634"":null,""iNat:164552719"":null,""iNat:164585585"":null,""iNat:164589516"":null,""iNat:164589517"":null,""iNat:164589518"":null,""iNat:164589524"":null,""iNat:169897126"":null,""iNat:174578458"":null,""iNat:174578469"":null,""iNat:174578565"":null,""iNat:181865032"":null,""iNat:181865036"":null,""iNat:182593083"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Boltenia,villosa,Andy Lamb,PMLS,,,,imerss.org:PMLS:91,1969-02-22T00:00:00.000Z,,,,,,iNat:182593083,2023-09-09T00:00:00.000Z,,,,,,,,
Botrylloides violaceus,81776,Botrylloides violaceus,0,accepted,"Oka, 1927",12,"{""imerss.org:PMLS:5013"":null,""iNat:49173196"":null,""iNat:102593865"":null,""iNat:152313146"":null,""iNat:153527851"":null,""iNat:164585617"":null,""iNat:164585627"":null,""iNat:164585630"":null,""iNat:164589499"":null,""iNat:164666471"":null,""iNat:169325447"":null,""iNat:169325449"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Styelidae,,,Botrylloides,violaceus,Andy Lamb,PMLS,,,,imerss.org:PMLS:5013,2007-10-14T00:00:00.000Z,,,,,,iNat:169325447,2023-06-24T00:00:00.000Z,,,,,,,,
Chelyosoma productum,428793,Chelyosoma productum,0,accepted,"Stimpson, 1864",35,"{""imerss.org:PMLS:92"":null,""imerss.org:PMLS:448"":null,""imerss.org:PMLS:750"":null,""imerss.org:PMLS:1726"":null,""imerss.org:PMLS:1970"":null,""imerss.org:PMLS:2054"":null,""imerss.org:PMLS:2153"":null,""imerss.org:PMLS:2769"":null,""imerss.org:PMLS:2832"":null,""imerss.org:PMLS:2964"":null,""imerss.org:PMLS:3147"":null,""imerss.org:PMLS:3477"":null,""imerss.org:PMLS:4286"":null,""imerss.org:PMLS:4673"":null,""imerss.org:PMLS:4803"":null,""imerss.org:PMLS:5810"":null,""imerss.org:PMLS:6624"":null,""imerss.org:PMLS:6701"":null,""imerss.org:PMLS:6933"":null,""imerss.org:PMLS:7077"":null,""imerss.org:PMLS:7191"":null,""imerss.org:PMLS:7976"":null,""imerss.org:PMLS:8528"":null,""imerss.org:PMLS:9481"":null,""imerss.org:PMLS:11373"":null,""imerss.org:PMLS:12782"":null,""imerss.org:PMLS:12908"":null,""imerss.org:PMLS:13239"":null,""imerss.org:PMLS:13350"":null,""imerss.org:PMLS:13937"":null,""imerss.org:PMLS:14017"":null,""imerss.org:PMLS:14328"":null,""imerss.org:PMLS:14433"":null,""imerss.org:PMLS:15415"":null,""imerss.org:PMLS:15525"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Corellidae,,,Chelyosoma,productum,Andy Lamb,PMLS,,,,imerss.org:PMLS:92,1969-02-22T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:15525,2012-10-06T00:00:00.000Z,,,,,,,,
Ciona savignyi,81614,Ciona savignyi,0,accepted,"Herdman, 1882",13,"{""imerss.org:PMLS:536"":null,""imerss.org:PMLS:3354"":null,""imerss.org:PMLS:3470"":null,""imerss.org:PMLS:4671"":null,""imerss.org:PMLS:5613"":null,""imerss.org:PMLS:6926"":null,""imerss.org:PMLS:7070"":null,""imerss.org:PMLS:7346"":null,""imerss.org:PMLS:7469"":null,""imerss.org:PMLS:7972"":null,""imerss.org:PMLS:8257"":null,""imerss.org:PMLS:8722"":null,""imerss.org:PMLS:8804"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Cionidae,,,Ciona,savignyi,Andy Lamb,PMLS,,,,imerss.org:PMLS:536,1985-12-07T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:8722,2008-10-10T00:00:00.000Z,,,,,,,,
Clavelina huntsmani,51984,Clavelina huntsmani,0,accepted,"Van Name, 1931",5,"{""imerss.org:PMLS:1537"":null,""imerss.org:PMLS:1636"":null,""imerss.org:PMLS:1898"":null,""imerss.org:PMLS:1972"":null,""imerss.org:PMLS:2154"":null}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Clavelinidae,,,Clavelina,huntsmani,Charlie Gibbs,PMLS,,,,imerss.org:PMLS:1537,1995-02-24T00:00:00.000Z,Charlie Gibbs,PMLS,,,,imerss.org:PMLS:2154,1996-02-24T00:00:00.000Z,,,,,,,,
