id,time_observed_at,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,scientific_name,common_name,taxon_id,latitude,longitude,private_latitude,private_longitude
2333734,2013-09-27,2013-09-27,bridgetspencer,Bridget Spencer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2589624/square.jpg,43,Rana aurora,Northern Red-legged Frog,25545,48.948238,-123.502164,,
2333739,2013-09-28,2013-09-28,bridgetspencer,Bridget Spencer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2589635/square.jpg,21,Taricha granulosa,Rough-skinned Newt,27826,48.948175,-123.501499,,
2570696,2013-06-05,2013-06-05,felixerhard,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2867257/square.JPG,243,Lilium columbianum,Columbia lily,77744,48.941265,-123.497615,,
2583316,2013-07-20,2013-07-20,felixerhard,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2884801/square.JPG,34,Monotropa uniflora,Ghost Pipe,49477,48.948328,-123.50365,,
2583333,2013-08-21,2013-08-21,felixerhard,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2884817/square.JPG,21,Typha angustifolia,narrow-leaved cattail,60316,48.948576,-123.502648,,
2604245,2013-05-04,2013-05-04,felixerhard,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2908734/square.JPG,87,Camassia leichtlinii,Leichtlin's Camassia,62218,48.94361,-123.509824,,
2692194,2016-02-16,2016-02-16,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3029222/square.JPG,21,Oemleria cerasiformis,Osoberry,53419,48.941631,-123.501005,,
2692219,2016-02-16,2016-02-16,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3029261/square.JPG,61,Urtica dioica,stinging nettle,51884,48.941479,-123.501048,,
2908642,2016-04-07,2016-04-07,hermissenda,Karolle Wall,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3327767/square.jpg,,Marsenina stearnsii,,53555,48.940652,-123.501685,,
2908930,2016-04-08,2016-04-08,hermissenda,Karolle Wall,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3328116/square.jpg,,Rhinogobiops nicholsii,Blackeye goby,132521,48.940877,-123.502329,,
2909345,2016-04-08,2016-04-08,hermissenda,Karolle Wall,research,false,https://static.inaturalist.org/photos/3328706/square.jpg,,Dirona albolineata,White-lined Dirona,47477,48.940454,-123.502114,,
2909657,2016-04-08,2016-04-08,hermissenda,Karolle Wall,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3329220/square.jpg,,Lophopanopeus bellus,Blackclaw Crestleg Crab,50818,48.940887,-123.502979,,
2909670,2016-04-08,2016-04-08,hermissenda,Karolle Wall,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3329239/square.jpg,87,Aglaja ocelligera,Spotted Aglaja,49842,48.941028,-123.501949,,
2909693,2016-04-08,2016-04-08,hermissenda,Karolle Wall,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3329265/square.jpg,87,Glebocarcinus oregonensis,Pygmy Rock Crab,429951,48.940972,-123.502035,,
2975819,2013-10-13,2013-10-13,divemaster,Peter,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3419876/square.jpg,184,Henricia leviuscula,Pacific Blood Star,47664,48.940211,-123.502679,,
