Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Provincial Status,National Status,Global Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Porichthys notatus,"Girard, 1854",,plainfin midshipman,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,Porichthyinae,Porichthys,native,SNR,,GNR,confirmed,observed,1995-02-23,Andy Lamb,PMLS,,,2016-05-08,Karolle Wall,http://www.inaturalist.org/observations/3706223,,60021,
Clupea pallasii,"Valenciennes, 1847",,Pacific herring,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Clupeidae,Clupeinae,Clupea,native,SNR,,GNR,reported,unobserved,1973-09-21,Andy Lamb,PMLS,,,,,,,117571,
Engraulis mordax,"Girard, 1854",,northern anchovy,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Engraulidae,Engraulinae,Engraulis,native,SNR,,GNR,reported,unobserved,2006-12-02,Charlie Gibbs,PMLS,,,,,,,63770,
Gadus chalcogrammus,"Pallas, 1814",,walleye pollock,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,Gadus,native,SNR,,GNR,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,reported as Theragra chalcogramma,614161,
Gadus macrocephalus,"Tilesius, 1810",,Pacific cod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,Gadus,native,SNR,,GNR,confirmed,observed,1994-02-26,Charlie Gibbs,PMLS,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/59920052,,180029,
Aulorhynchus flavidus,"Gill, 1861",,tubesnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Aulorhynchidae,,Aulorhynchus,native,SNR,,GNR,reported,unobserved,1994-02-27,Charlie Gibbs,PMLS,,,,,,,117568,
Gasterosteus aculeatus,"Linnaeus, 1758",,three-spined stickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Gasterosteidae,,Gasterosteus,native,SNR,,GNR,confirmed,observed,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,2016-06-20,Karolle Wall,http://www.inaturalist.org/observations/4014949,,48403,"""Due to the genetic variability exhibited among isolated populations, Jack Creek’s three spine sticklebacks may be a rare sub-species. This investigation was never followed up."" (Keith Erickson pers. comm 2020)."
Gobiesox maeandricus,"(Girard, 1858)",,northern clingfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiesociformes,,,Gobiesocidae,Gobiesocinae,Gobiesox,native,SNR,,GNR,confirmed,observed,1995-02-23,Andy Lamb,PMLS,,,2018-05-18,Karolle Wall,https://www.inaturalist.org/observations/12684292,,67409,an outer coastal species likely represented locally by a specimen carried in from offshore waters
Trachipterus altivelis,"Kner, 1859",,king-of-the-salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Lampriformes,,,Trachipteridae,,Trachipterus,accidental,SNR,,GNR,reported,unobserved,1965-08-21,A. W. Argue,CMN,CMNFI 1968-1875.1,,,,,,232769,
Brosmophycis marginata,"(Ayres, 1854)",,red brotula,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Ophidiiformes,,,Bythitidae,Brosmophycinae,Brosmophycis,native,SNR,,GNR,reported,unobserved,2010-05-30,Andy Lamb,PMLS,,,,,,,215459,
Ammodytes personatus,"Girard, 1856",,Pacific sand lance,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ammodytidae,,Ammodytes,native,SNR,,GNR,confirmed,observed,1993-08-16,Andy Lamb,PMLS,,,2011-05-20,Karolle Wall,http://www.inaturalist.org/observations/4028615,,201784,
Anarrhichthys ocellatus,"Ayres, 1855",,wolf-eel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Anarhichadidae,,Anarrhichthys,native,SNR,,GNR,reported,unobserved,1994-02-26,Charlie Gibbs,PMLS,,,,,,,60635,
Ronquilus jordani,"(Gilbert, 1889)",,northern ronquil,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Bathymasteridae,,Ronquilus,native,SNR,,GNR,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,230312,
Brachyistius frenatus,"Gill, 1862",,kelp perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,Brachyistius,native,SNR,,GNR,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,,2020-08-13,Andrew Simon,https://www.inaturalist.org/observations/56373905,,117553,
Cymatogaster aggregata,"Gibbons, 1854",,shiner perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,Cymatogaster,native,SNR,,GNR,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.1,,2018-08-29,Tom Appleby,https://www.inaturalist.org/observations/16014197,,98855,
Embiotoca lateralis,"Agassiz, 1854",,striped seaperch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,Embiotoca,native,SNR,,GNR,confirmed,observed,1982-06-08,Claudia E. Kasserra,CMN,CMNFI 1985-0086.1,,2020-05-07,Penelope Bridge,https://www.inaturalist.org/observations/45278748,,117555,
Rhacochilus vacca,"(Girard, 1855)",,pile perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,Rhacochilus,native,SNR,,GNR,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,,2020-08-13,Andrew Simon,https://www.inaturalist.org/observations/56373907,reported as Damalichthys vacca,111616,
Clevelandia ios,"(Jordan & Gilbert, 1882)",,arrow goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobionellinae,Clevelandia,native,SNR,,GNR,new 2017,observed,,,,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7648112,,117564,
Rhinogobiops nicholsii,"(Bean, 1882)",,blackeye goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobiinae,Rhinogobiops,native,SNR,,GNR,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976016,,132521,
Apodichthys flavidus,"Girard, 1854",,penpoint gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,Apodichthys,native,SNR,,GNR,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.5,,2013-06-22,Karolle Wall,http://www.inaturalist.org/observations/4015148,,67408,
Pholis clemensi,"Rosenblatt, 1964",,longfin gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,Pholis,native,SNR,,GNR,reported,unobserved,1994-10-07,Andy Lamb,PMLS,,,,,,,67405,
Pholis laeta,"(Cope, 1873)",,crescent gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,Pholis,native,SNR,,GNR,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.6,,2013-07-07,Karolle Wall,http://www.inaturalist.org/observations/4032541,,67362,
Ptilichthys goodei,"Bean, 1881",,quillfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ptilichthyidae,,Ptilichthys,native,SNR,,GNR,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,229394,
Anoplarchus purpurescens,"Gill, 1861",,high cockscomb,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,Anoplarchus,native,SNR,,GNR,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2015-08-28,Andrew Simon,https://www.inaturalist.org/observations/2580652,,67316,
Chirolophis decoratus,"(Jordan & Snyder, 1902)",,decorated warbonnet,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,Chirolophis,native,SNR,,GNR,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,216742,
Chirolophis nugator,"(Jordan & Williams, 1895)",,mosshead warbonnet,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,Chirolophis,native,SNR,,GNR,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2019-05-04,Isabelle M. Côté,https://www.inaturalist.org/observations/24798244,,216743,
Lumpenus sagitta,"Wilimovsky, 1956",,snake prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Lumpeninae,Lumpenus,native,SNR,,GNR,new 2017,observed,,,,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7647298,,224164,
Phytichthys chirus,"(Jordan & Gilbert, 1880)",,ribbon prickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,Platichthys,native,SNR,,GNR,reported,unobserved,1960-12-22,Donald E. McAllister & M. O. Yesaki,CMN,CMNFI 1960-0499C.2,,,,,,228101,
Xiphister mucosus,"(Girard, 1858)",,rock eel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,Xiphister,native,SNR,,GNR,new 2020,observed,,,,,,2020-08-15,Andrew Simon,https://www.inaturalist.org/observations/57099177,,67628,
Citharichthys stigmaeus,"Jordan & Gilbert, 1882",,speckled sanddab,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Paralichthyidae,,Citharichthys,native,SNR,,GNR,confirmed,observed,1993-05-09,Andy Lamb,PMLS,,,2016-07-05,Karolle Wall,http://www.inaturalist.org/observations/4014940,,47526,
Lepidopsetta bilineata,"(Ayres, 1855)",,rock sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,Lepidopsetta,native,SNR,,GNR,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,,183018,
Lyopsetta exilis,"(Jordan & Gilbert, 1880)",,slender sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,Lyopsetta,native,SNR,,GNR,confirmed,observed,2008-05-24,Jackson Chu,Chu (2010),,,2007-10-23,Jackson Chu,https://www.inaturalist.org/observations/59908556,,104926,
Parophrys vetulus,"Girard, 1854",,English sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,Parophrys,native,SNR,,GNR,reported,unobserved,1982-06-09,J. M. Ellis,CMN,CMNFI 1985-0088.1,,,,,,117545,
Platichthys stellatus,"(Pallas, 1787)",,starry flounder,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,Platichthys,native,SNR,,GNR,confirmed,observed,1982-06-09,J. M. Ellis,CMN,CMNFI 1985-0088.2,,2020-08-02,pacificwhitesideddolphin,https://www.inaturalist.org/observations/55397670,,83170,
Pleuronichthys coenosus,"Girard, 1854",,C-O sole,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,Pleuronichthys,native,SNR,,GNR,confirmed,observed,1994-02-27,Andy Lamb,PMLS,,,2013-06-22,Karolle Wall,http://www.inaturalist.org/observations/4015105,,228393,
Oncorhynchus clarkii,"(Richardson, 1836)",,cutthroat trout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,Oncorhynchus,native,SNR,,GNR,reported,unobserved,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,,,,,68075,
Oncorhynchus keta,"(Walbaum, 1792)",,chum salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,Oncorhynchus,native,SNR,,GNR,reported,unobserved,2013-05-17,Andy Lamb,PMLS,,,,,,,107572,
Oncorhynchus kisutch,"(Walbaum, 1792)",,coho salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,Oncorhynchus,native,SNR,,GNR,reported,unobserved,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,,,,,53692,
Oncorhynchus tshawytscha,"(Walbaum, 1792)",,chinook salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,Oncorhynchus,native,SNR,,GNR,new 2017,observed,,,,,,2017-02-12,Christina Robinson,https://www.inaturalist.org/observations/5101395,,54191,
Agonopsis vulsa,"(Jordan & Gilbert, 1880)",,northern spearnose poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,Agonopsis,native,SNR,,GNR,reported,unobserved,1995-02-25,Charlie Gibbs,PMLS,,,,,,,180027,
Odontopyxis trispinosa,"Lockington, 1880",,pygmy poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Bathyagoninae,Odontopyxis,native,SNR,,GNR,confirmed,observed,2006-06-30,Andy Lamb,PMLS,,,2017-07-25,Karolle Wall,https://www.inaturalist.org/observations/7238958,,226210,
Podothecus accipenserinus,"(Tilesius, 1813)",,sturgeon poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,Podothecus,native,SNR,,GNR,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,228455,
Artedius fenestralis,"Jordan & Gilbert, 1883",,padded sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,Artedius,native,SNR,,GNR,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976334,,117527,
Artedius harringtoni,"(Starks, 1896)",,scalyhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,Artedius,native,SNR,,GNR,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797281,,117528,
Artedius lateralis,"(Girard, 1854)",,smoothhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,Artedius,native,SNR,,GNR,confirmed,observed,1985-12-08,Charlie Gibbs,PMLS,,,2020-08-13,Andrew Simon,https://www.inaturalist.org/observations/56373896,,117529,
Asemichthys taylori,"Gilbert, 1912",,spinynose sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,Asemichthys,native,SNR,,GNR,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975888,,172639,
Chitonotus pugetensis,"(Steindachner, 1876)",,roughback sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,Chitonotus,native,SNR,,GNR,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,,216746,
