id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
48460,,Life,life,stateofmatter,https://static.inaturalist.org/photos/5011941/medium.jpg
1,48460,Animalia,Animals,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/80678745/medium.jpg
47126,48460,Plantae,plants,kingdom,https://static.inaturalist.org/photos/221143410/medium.jpeg
47120,1,Arthropoda,Arthropods,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/92982075/medium.jpg
211194,47126,Tracheophyta,vascular plants,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/78650848/medium.jpeg
47125,211194,Angiospermae,flowering plants,subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/6943609/medium.jpg
121943,211194,Polypodiopsida,ferns,class,https://inaturalist-open-data.s3.amazonaws.com/photos/97935359/medium.jpeg
136329,211194,Pinopsida,conifers,class,https://inaturalist-open-data.s3.amazonaws.com/photos/8663614/medium.jpg
372739,47120,Hexapoda,Hexapods,subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/59652240/medium.jpg
47124,47125,Magnoliopsida,dicots,class,https://static.inaturalist.org/photos/10307058/medium.jpg
47158,372739,Insecta,Insects,class,https://inaturalist-open-data.s3.amazonaws.com/photos/45827902/medium.jpg
47163,47125,Liliopsida,monocots,class,https://inaturalist-open-data.s3.amazonaws.com/photos/274224/medium.jpg
47375,136329,Pinales,conifers,order,https://inaturalist-open-data.s3.amazonaws.com/photos/170033792/medium.jpg
47123,47124,Fabales,"legumes, milkworts, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/73034071/medium.jpg
47132,47124,Rosales,"roses, elms, figs, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/11763754/medium.jpg
47162,47163,Poales,"grasses, sedges, cattails, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/54589881/medium.jpg
47181,47124,Ericales,"heathers, balsams, primroses, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/121441132/medium.jpeg
47195,47124,Cornales,"dogwoods, hydrangeas, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/79182087/medium.jpg
47218,47163,Asparagales,"agaves, orchids, irises, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/112879715/medium.jpg
47329,47163,Liliales,"lilies, supplejacks, and allies",order,https://static.inaturalist.org/photos/33994968/medium.jpeg
47363,47124,Gentianales,"gentians, dogbanes, madders, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/6232/medium.jpg
47366,47124,Caryophyllales,"pinks, cactuses, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/74999656/medium.jpg
47374,47375,Cupressaceae,cypress family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/164349061/medium.jpg
47540,47124,Celastrales,staff-vines and allies,order,https://inaturalist-open-data.s3.amazonaws.com/photos/31231998/medium.jpg
47562,47375,Pinaceae,pine family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/275129245/medium.jpg
47605,47124,Asterales,"sunflowers, bellflowers, fanflowers, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/13529909/medium.jpg
47690,47124,Geraniales,"geraniums, bridal wreaths, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/208209960/medium.jpeg
47729,47124,Sapindales,"soapberries, cashews, mahoganies, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/54896742/medium.jpg
47754,121943,Polypodiales,,order,https://inaturalist-open-data.s3.amazonaws.com/photos/76066835/medium.jpg
47791,47124,Myrtales,"myrtles, evening primroses, and allies",order,https://static.inaturalist.org/photos/42561347/medium.jpeg
47853,47124,Fagales,"beeches, oaks, walnuts, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/2305595/medium.JPG
48073,47163,Alismatales,"Aroids, Water-Plantains, Seagrass, and allies",order,https://static.inaturalist.org/photos/107900/medium.jpg
48151,47124,Lamiales,"mints, plantains, olives, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/31256836/medium.jpg
48232,47124,Ranunculales,"buttercups, poppies, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/10459/medium.jpg
48515,47124,Solanales,"nightshades, bindweeds, gooseweeds, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/50520559/medium.jpg
48526,47124,Dipsacales,"honeysuckles, moschatels, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/5417/medium.jpg
